#Program: R2: Genomics analysis and visualization platform,,,,
#Website: https://r2.amc.nl,,,,
#Support: r2-support@amsterdamumc.nl,,,,
#Date: 2025-02-22 (19:48:29),,,,
#Comparison: groups,,,,
#Data transformation: transform_log2,,,,
#Dataset: ps_avgpres_broadgbm540_u133a,,,,
#Groups: mesenchymal;proneural,,,,
#Minimal presentcalls: 1,,,,
#Number of lines: 3246,,,,
#Output: anova fdr p<=0.01,,,,
#Pretty_dataset: Tumor Glioblastoma - TCGA - 540 - MAS5.0 - u133a,,,,
"#Subset: subtype~mesenchymal,proneural (n=51)",,,,
#Test: anova,,,,
#Track: subtype,,,,
#Values field: ,,,,
#H:probeset,hugo,corrected-pvalue,log2fc,sublist
209323_at,PRKRIR,0.004820617,0.47932024,subtype: mesenchymal < proneural
203409_at,DDB2,8.48E-05,-1.148717444,subtype: mesenchymal >= proneural
217868_s_at,METTL9,0.000103694,0.480569993,subtype: mesenchymal < proneural
202910_s_at,CD97,8.62E-05,-1.252757695,subtype: mesenchymal >= proneural
203828_s_at,IL32,8.89E-05,-1.909161621,subtype: mesenchymal >= proneural
217987_at,ASNSD1,3.28E-06,0.583111655,subtype: mesenchymal < proneural
211138_s_at,KMO,8.89E-05,-1.292398535,subtype: mesenchymal >= proneural
212726_at,PHF2,0.000117438,0.703232073,subtype: mesenchymal < proneural
218113_at,TMEM2,8.90E-05,-1.41038032,subtype: mesenchymal >= proneural
221957_at,PDK3,8.95E-05,-0.814802947,subtype: mesenchymal >= proneural
209778_at,TRIP11,9.02E-05,-1.280483053,subtype: mesenchymal >= proneural
200896_x_at,HDGF,0.009661433,0.3822143,subtype: mesenchymal < proneural
221227_x_at,COQ3,4.11E-05,0.541708901,subtype: mesenchymal < proneural
218795_at,ACP6,9.08E-05,-1.145194792,subtype: mesenchymal >= proneural
213664_at,SLC1A1,4.03E-07,1.818099211,subtype: mesenchymal < proneural
202184_s_at,NUP133,0.00981343,0.306809338,subtype: mesenchymal < proneural
201379_s_at,TPD52L2,9.39E-05,-0.600451718,subtype: mesenchymal >= proneural
210017_at,MALT1,9.49E-05,-0.878765769,subtype: mesenchymal >= proneural
207621_s_at,PEMT,5.40E-06,0.802758236,subtype: mesenchymal < proneural
218823_s_at,KCTD9,9.64E-05,-0.632200279,subtype: mesenchymal >= proneural
219183_s_at,CYTH4,9.66E-05,-0.928505505,subtype: mesenchymal >= proneural
212461_at,AZIN1,4.35E-05,0.42137726,subtype: mesenchymal < proneural
219126_at,PHF10,9.70E-05,-0.766522983,subtype: mesenchymal >= proneural
204661_at,CD52,9.72E-05,-2.265660692,subtype: mesenchymal >= proneural
221080_s_at,DENND1C,9.85E-05,-1.276685866,subtype: mesenchymal >= proneural
219123_at,ZNF232,0.000126747,0.776745817,subtype: mesenchymal < proneural
217889_s_at,CYBRD1,9.85E-05,-1.142940885,subtype: mesenchymal >= proneural
204070_at,RARRES3,9.85E-05,-1.461659105,subtype: mesenchymal >= proneural
204852_s_at,PTPN7,9.93E-05,-1.884939956,subtype: mesenchymal >= proneural
205575_at,C1QL1,4.52E-08,2.480921173,subtype: mesenchymal < proneural
209046_s_at,GABARAPL2,0.005071851,0.421876951,subtype: mesenchymal < proneural
209073_s_at,NUMB,9.96E-05,-0.554908245,subtype: mesenchymal >= proneural
211456_x_at,MT1P2,0.00010011,-1.424889516,subtype: mesenchymal >= proneural
212185_x_at,MT2A,0.000100324,-0.872851155,subtype: mesenchymal >= proneural
213418_at,HSPA6,0.000101729,-1.856320107,subtype: mesenchymal >= proneural
204933_s_at,TNFRSF11B,0.00010287,-2.718454066,subtype: mesenchymal >= proneural
200923_at,LGALS3BP,0.00010314,-0.929060481,subtype: mesenchymal >= proneural
208926_at,NEU1,0.000103158,-0.602497669,subtype: mesenchymal >= proneural
212715_s_at,MICAL3,1.88E-06,1.195557098,subtype: mesenchymal < proneural
202520_s_at,MLH1,0.003676234,0.370849085,subtype: mesenchymal < proneural
202686_s_at,AXL,0.000103627,-1.051671854,subtype: mesenchymal >= proneural
212503_s_at,DIP2C,8.87E-05,0.871243484,subtype: mesenchymal < proneural
202286_s_at,TACSTD2,0.000104382,-2.471736847,subtype: mesenchymal >= proneural
204743_at,TAGLN3,8.46E-08,2.268487086,subtype: mesenchymal < proneural
213637_at,DDX52,0.001238006,0.540416051,subtype: mesenchymal < proneural
206171_at,ADORA3,0.000105416,-1.133638637,subtype: mesenchymal >= proneural
207789_s_at,DPP6,0.000160601,1.342156503,subtype: mesenchymal < proneural
217984_at,RNASET2,0.000105569,-0.995945285,subtype: mesenchymal >= proneural
206206_at,CD180,0.000107254,-2.20346916,subtype: mesenchymal >= proneural
219670_at,BEND5,8.56E-05,0.981304086,subtype: mesenchymal < proneural
204163_at,EMILIN1,0.000109416,-1.746112011,subtype: mesenchymal >= proneural
206453_s_at,NDRG2,0.0013661,1.420549593,subtype: mesenchymal < proneural
201289_at,CYR61,0.000110113,-1.838297337,subtype: mesenchymal >= proneural
206531_at,DPF1,5.34E-05,2.162971314,subtype: mesenchymal < proneural
336_at,TBXA2R,0.000110293,-1.078358235,subtype: mesenchymal >= proneural
202664_at,WIPF1,0.000110299,-0.544421921,subtype: mesenchymal >= proneural
219051_x_at,METRN,3.43E-05,0.998645026,subtype: mesenchymal < proneural
203614_at,UTP14C,0.000311134,0.512620629,subtype: mesenchymal < proneural
206144_at,MAGI1,6.17E-06,1.522852089,subtype: mesenchymal < proneural
209516_at,SMYD5,0.001116972,0.47083012,subtype: mesenchymal < proneural
203477_at,COL15A1,0.000110441,-2.000293534,subtype: mesenchymal >= proneural
205278_at,GAD1,9.23E-07,2.819667509,subtype: mesenchymal < proneural
212881_at,PIAS4,0.00036322,0.506868266,subtype: mesenchymal < proneural
208808_s_at,HMGB2,0.000794913,0.663274968,subtype: mesenchymal < proneural
209794_at,SRGAP3,8.87E-05,1.453265909,subtype: mesenchymal < proneural
205084_at,BCAP29,0.000110642,-0.77758217,subtype: mesenchymal >= proneural
202297_s_at,RER1,0.000111303,-0.544433602,subtype: mesenchymal >= proneural
204953_at,SNAP91,3.45E-07,3.520521482,subtype: mesenchymal < proneural
203235_at,THOP1,8.81E-05,0.603163086,subtype: mesenchymal < proneural
211844_s_at,NRP2,0.000112188,-1.515944176,subtype: mesenchymal >= proneural
201113_at,TUFM,0.000967092,0.364026262,subtype: mesenchymal < proneural
204834_at,FGL2,0.000112843,-1.30988884,subtype: mesenchymal >= proneural
203619_s_at,FAIM2,0.001624105,0.982187117,subtype: mesenchymal < proneural
220491_at,HAMP,0.000114004,-1.639071645,subtype: mesenchymal >= proneural
204981_at,SLC22A18,0.000115268,-1.405558043,subtype: mesenchymal >= proneural
220146_at,TLR7,0.000115671,-1.410471384,subtype: mesenchymal >= proneural
206308_at,TRDMT1,0.009851105,0.568991325,subtype: mesenchymal < proneural
221236_s_at,STMN4,5.31E-07,2.079403125,subtype: mesenchymal < proneural
213661_at,PAMR1,0.000116384,-1.572387568,subtype: mesenchymal >= proneural
220085_at,HELLS,0.009661632,0.907836605,subtype: mesenchymal < proneural
203665_at,HMOX1,0.00011712,-1.470039176,subtype: mesenchymal >= proneural
219215_s_at,SLC39A4,0.000120701,-1.777701672,subtype: mesenchymal >= proneural
215346_at,CD40,0.000121048,-1.309188522,subtype: mesenchymal >= proneural
46665_at,SEMA4C,0.006868522,0.421506594,subtype: mesenchymal < proneural
204994_at,MX2,0.000121068,-1.345254944,subtype: mesenchymal >= proneural
218976_at,DNAJC12,0.001002649,0.907929926,subtype: mesenchymal < proneural
203281_s_at,UBA7,0.000121687,-1.152396019,subtype: mesenchymal >= proneural
205540_s_at,RRAGB,0.007800904,0.559142657,subtype: mesenchymal < proneural
212110_at,SLC39A14,0.000121764,-1.113768405,subtype: mesenchymal >= proneural
200697_at,HK1,0.000122251,-0.614682611,subtype: mesenchymal >= proneural
201515_s_at,TSN,0.002638057,0.308649721,subtype: mesenchymal < proneural
213069_at,HEG1,0.000122755,-0.847000388,subtype: mesenchymal >= proneural
207443_at,NR2E1,0.000130692,-1.684708565,subtype: mesenchymal >= proneural
214434_at,HSPA12A,0.000207672,1.176422088,subtype: mesenchymal < proneural
205032_at,ITGA2,0.000130752,-1.403457196,subtype: mesenchymal >= proneural
219012_s_at,C11ORF30,6.61E-05,0.838248743,subtype: mesenchymal < proneural
218833_at,ZAK,0.000131348,-1.200964817,subtype: mesenchymal >= proneural
209344_at,TPM4,0.000132151,-0.941772546,subtype: mesenchymal >= proneural
200052_s_at,ILF2,0.00020808,0.575532831,subtype: mesenchymal < proneural
201967_at,RBM6,0.007946021,0.527486599,subtype: mesenchymal < proneural
203430_at,HEBP2,0.000132826,-0.700161303,subtype: mesenchymal >= proneural
57532_at,DVL2,0.000212497,0.559052667,subtype: mesenchymal < proneural
221310_at,FGF14,1.01E-05,2.141301879,subtype: mesenchymal < proneural
218159_at,DDRGK1,0.000133358,-0.652982687,subtype: mesenchymal >= proneural
212064_x_at,MAZ,8.54E-05,0.57115144,subtype: mesenchymal < proneural
205743_at,STAC,0.000133571,-2.3339441,subtype: mesenchymal >= proneural
217562_at,FAM5C,1.46E-05,2.29871312,subtype: mesenchymal < proneural
219274_at,TSPAN12,0.004981608,1.209475741,subtype: mesenchymal < proneural
214173_x_at,URI1,0.000268141,0.494134504,subtype: mesenchymal < proneural
209939_x_at,CFLAR,0.000134547,-0.658065093,subtype: mesenchymal >= proneural
219013_at,GALNT11,0.000134771,-0.515616044,subtype: mesenchymal >= proneural
202769_at,CCNG2,0.001002305,0.706596673,subtype: mesenchymal < proneural
201560_at,CLIC4,0.000135281,-0.615505949,subtype: mesenchymal >= proneural
207616_s_at,TANK,0.00013773,-0.526164891,subtype: mesenchymal >= proneural
201321_s_at,SMARCC2,1.07E-06,0.915106763,subtype: mesenchymal < proneural
219073_s_at,OSBPL10,0.000139627,-1.319896938,subtype: mesenchymal >= proneural
221821_s_at,KANSL2,0.000608,0.537602648,subtype: mesenchymal < proneural
202088_at,SLC39A6,5.12E-07,0.672085487,subtype: mesenchymal < proneural
206925_at,ST8SIA4,0.000140322,-1.762389185,subtype: mesenchymal >= proneural
218196_at,OSTM1,0.000140373,-0.676955625,subtype: mesenchymal >= proneural
221277_s_at,PUS3,6.78E-05,0.511974147,subtype: mesenchymal < proneural
206201_s_at,MEOX2,0.000140546,-3.092829862,subtype: mesenchymal >= proneural
203765_at,GCA,0.000140696,-0.84620636,subtype: mesenchymal >= proneural
212694_s_at,PCCB,0.009835465,0.574480285,subtype: mesenchymal < proneural
221766_s_at,FAM46A,0.000140777,-0.97554364,subtype: mesenchymal >= proneural
212699_at,SCAMP5,3.28E-05,0.728704238,subtype: mesenchymal < proneural
205422_s_at,ITGBL1,0.000142625,-2.677863527,subtype: mesenchymal >= proneural
219294_at,CENPQ,0.00508019,0.420884112,subtype: mesenchymal < proneural
201368_at,ZFP36L2,0.000142752,-0.727234553,subtype: mesenchymal >= proneural
204088_at,P2RX4,0.000145231,-0.824486744,subtype: mesenchymal >= proneural
204166_at,SBNO2,0.000145275,-1.59292377,subtype: mesenchymal >= proneural
212752_at,CLASP1,0.008387322,0.435158856,subtype: mesenchymal < proneural
212843_at,NCAM1,1.63E-07,1.7209053,subtype: mesenchymal < proneural
201141_at,GPNMB,0.000145983,-1.853673046,subtype: mesenchymal >= proneural
206196_s_at,RUNDC3A,1.99E-08,2.32869345,subtype: mesenchymal < proneural
209083_at,CORO1A,0.000146257,-1.056946853,subtype: mesenchymal >= proneural
219489_s_at,NXN,0.000156324,1.029892537,subtype: mesenchymal < proneural
201200_at,CREG1,0.000146305,-0.881473068,subtype: mesenchymal >= proneural
207090_x_at,ZFP30,8.92E-07,0.692012329,subtype: mesenchymal < proneural
219681_s_at,RAB11FIP1,0.000148228,-1.402095171,subtype: mesenchymal >= proneural
203046_s_at,TIMELESS,0.005126187,0.753000361,subtype: mesenchymal < proneural
203362_s_at,MAD2L1,0.000177055,1.138045505,subtype: mesenchymal < proneural
200704_at,LITAF,0.000148228,-0.766550279,subtype: mesenchymal >= proneural
202743_at,PIK3R3,0.001301077,0.76340265,subtype: mesenchymal < proneural
212865_s_at,COL14A1,0.000149803,-2.341147678,subtype: mesenchymal >= proneural
200872_at,S100A10,0.000150178,-1.322540313,subtype: mesenchymal >= proneural
204146_at,RAD51AP1,0.002385914,0.867369207,subtype: mesenchymal < proneural
204643_s_at,ENOX2,0.000150356,-0.645838476,subtype: mesenchymal >= proneural
208012_x_at,SP110,0.000153862,-0.863421165,subtype: mesenchymal >= proneural
213693_s_at,MUC1,0.000155706,-1.183384511,subtype: mesenchymal >= proneural
219201_s_at,TWSG1,0.000156344,-0.981561963,subtype: mesenchymal >= proneural
205375_at,MDFI,0.001123833,1.037354594,subtype: mesenchymal < proneural
205167_s_at,CDC25C,0.006668288,1.146026915,subtype: mesenchymal < proneural
217734_s_at,WDR6,0.001479709,0.563802,subtype: mesenchymal < proneural
203298_s_at,JARID2,7.99E-06,0.768832035,subtype: mesenchymal < proneural
212611_at,DTX4,0.000789296,0.832085866,subtype: mesenchymal < proneural
209696_at,FBP1,0.000161456,-0.940581042,subtype: mesenchymal >= proneural
212655_at,ZCCHC14,9.88E-06,0.975066057,subtype: mesenchymal < proneural
218195_at,C6ORF211,0.000162687,-0.42942977,subtype: mesenchymal >= proneural
209758_s_at,MFAP5,0.00016323,-2.462966052,subtype: mesenchymal >= proneural
201041_s_at,DUSP1,0.000163288,-1.253830193,subtype: mesenchymal >= proneural
218154_at,GSDMD,0.000163341,-1.734926766,subtype: mesenchymal >= proneural
63305_at,PKNOX2,8.44E-06,1.030469826,subtype: mesenchymal < proneural
208612_at,PDIA3,0.000164735,-0.56221519,subtype: mesenchymal >= proneural
41660_at,CELSR1,0.000164846,-1.365390014,subtype: mesenchymal >= proneural
203060_s_at,PAPSS2,0.000165778,-1.010946424,subtype: mesenchymal >= proneural
203324_s_at,CAV2,0.000166604,-1.534512249,subtype: mesenchymal >= proneural
213428_s_at,COL6A1,0.000170769,-1.44315426,subtype: mesenchymal >= proneural
206118_at,STAT4,0.000173195,-2.064793835,subtype: mesenchymal >= proneural
202897_at,SIRPA,0.000174185,-0.693643867,subtype: mesenchymal >= proneural
221156_x_at,CCPG1,0.000174308,-0.678531945,subtype: mesenchymal >= proneural
201762_s_at,PSME2,0.000174994,-0.690543955,subtype: mesenchymal >= proneural
205542_at,STEAP1,0.00017527,-1.801791583,subtype: mesenchymal >= proneural
220367_s_at,SAP130,0.000330099,0.381718533,subtype: mesenchymal < proneural
217513_at,MILR1,0.000176382,-1.596425741,subtype: mesenchymal >= proneural
210001_s_at,SOCS1,0.00017705,-1.00824602,subtype: mesenchymal >= proneural
204199_at,RALGPS1,1.42E-06,2.071895954,subtype: mesenchymal < proneural
209670_at,TRAC,0.00018307,-2.042518751,subtype: mesenchymal >= proneural
201471_s_at,SQSTM1,0.000185941,-0.863734991,subtype: mesenchymal >= proneural
204204_at,SLC31A2,0.000186091,-1.075140529,subtype: mesenchymal >= proneural
203952_at,ATF6,0.000189341,-0.413919563,subtype: mesenchymal >= proneural
211986_at,AHNAK,0.000193635,-1.37752235,subtype: mesenchymal >= proneural
218555_at,ANAPC2,0.007139636,0.374399431,subtype: mesenchymal < proneural
219576_at,MAP7D3,0.000194129,-0.754695305,subtype: mesenchymal >= proneural
200947_s_at,GLUD1,0.000679683,0.64664852,subtype: mesenchymal < proneural
221895_at,MOSPD2,0.000200167,-0.555403408,subtype: mesenchymal >= proneural
205300_s_at,SNRNP35,4.81E-06,0.502237943,subtype: mesenchymal < proneural
216221_s_at,PUM2,0.000250318,0.494461354,subtype: mesenchymal < proneural
213543_at,SGCD,0.008274257,1.43497307,subtype: mesenchymal < proneural
218752_at,ZMAT5,0.009630717,0.606903202,subtype: mesenchymal < proneural
210986_s_at,TPM1,0.00020049,-0.957214692,subtype: mesenchymal >= proneural
208488_s_at,CR1,0.000200791,-1.634710824,subtype: mesenchymal >= proneural
201409_s_at,PPP1CB,0.000202607,-0.510823081,subtype: mesenchymal >= proneural
201174_s_at,TERF2IP,0.000206912,0.559615618,subtype: mesenchymal < proneural
209524_at,HDGFRP3,1.24E-07,0.843249858,subtype: mesenchymal < proneural
204260_at,CHGB,0.007700292,1.27253438,subtype: mesenchymal < proneural
203164_at,SLC33A1,0.000204024,-0.5157024,subtype: mesenchymal >= proneural
220255_at,FANCE,0.004753512,0.627641589,subtype: mesenchymal < proneural
202560_s_at,CHTOP,2.82E-08,0.861739667,subtype: mesenchymal < proneural
219468_s_at,CUEDC1,0.000297312,0.7172757,subtype: mesenchymal < proneural
212367_at,FEM1B,0.001215577,0.35452511,subtype: mesenchymal < proneural
200687_s_at,SF3B3,0.0015177,0.461867405,subtype: mesenchymal < proneural
204586_at,BSN,0.001217949,1.875817064,subtype: mesenchymal < proneural
203312_x_at,ARF6,0.000204687,-0.600248407,subtype: mesenchymal >= proneural
208927_at,SPOP,4.70E-06,0.526298043,subtype: mesenchymal < proneural
206037_at,CCBL1,1.73E-07,1.065197756,subtype: mesenchymal < proneural
201774_s_at,NCAPD2,0.000562044,0.811347483,subtype: mesenchymal < proneural
201655_s_at,HSPG2,0.000205184,-1.053834643,subtype: mesenchymal >= proneural
213186_at,DZIP3,4.86E-06,0.852782728,subtype: mesenchymal < proneural
200845_s_at,PRDX6,0.000205529,-0.57146041,subtype: mesenchymal >= proneural
210024_s_at,UBE2E3,0.000164741,0.498018713,subtype: mesenchymal < proneural
218917_s_at,ARID1A,0.000303903,0.542930511,subtype: mesenchymal < proneural
37028_at,PPP1R15A,0.000206177,-0.584347366,subtype: mesenchymal >= proneural
212660_at,PHF15,0.000206798,-0.898963862,subtype: mesenchymal >= proneural
200958_s_at,SDCBP,0.000208172,-0.476919553,subtype: mesenchymal >= proneural
221473_x_at,SERINC3,0.000209603,-0.419910778,subtype: mesenchymal >= proneural
208959_s_at,ERP44,0.000210524,-0.480265173,subtype: mesenchymal >= proneural
210959_s_at,SRD5A1,0.00021453,-0.758821358,subtype: mesenchymal >= proneural
218986_s_at,DDX60,0.000215748,-0.836655069,subtype: mesenchymal >= proneural
209662_at,CETN3,0.007734908,0.372949044,subtype: mesenchymal < proneural
215513_at,HYMAI,0.000216128,-1.550514358,subtype: mesenchymal >= proneural
51192_at,SSH3,0.000217178,-0.935324364,subtype: mesenchymal >= proneural
217671_at,DSERG1,0.000946589,0.943804865,subtype: mesenchymal < proneural
211341_at,POU4F1,0.004211907,2.079086974,subtype: mesenchymal < proneural
213817_at,IRAK3,0.0002173,-1.658863361,subtype: mesenchymal >= proneural
211964_at,COL4A2,0.000217782,-1.051563818,subtype: mesenchymal >= proneural
202962_at,KIF13B,0.000218876,-0.687800793,subtype: mesenchymal >= proneural
215170_s_at,CEP152,0.002912059,0.922856167,subtype: mesenchymal < proneural
202659_at,PSMB10,0.000218886,-0.834688588,subtype: mesenchymal >= proneural
222218_s_at,PILRA,0.000221662,-1.112487262,subtype: mesenchymal >= proneural
205156_s_at,ASIC1,3.20E-07,1.597697709,subtype: mesenchymal < proneural
209448_at,HTATIP2,0.000223932,-1.304794506,subtype: mesenchymal >= proneural
204417_at,GALC,0.000227492,-1.006620335,subtype: mesenchymal >= proneural
202859_x_at,IL8,0.000228497,-2.722468638,subtype: mesenchymal >= proneural
202986_at,ARNT2,0.000433223,0.77849521,subtype: mesenchymal < proneural
209924_at,CCL18,0.000237142,-3.707269703,subtype: mesenchymal >= proneural
202734_at,TRIP10,0.000237494,-1.060293849,subtype: mesenchymal >= proneural
202517_at,CRMP1,2.69E-08,1.814760705,subtype: mesenchymal < proneural
200990_at,TRIM28,0.000177122,0.558821867,subtype: mesenchymal < proneural
221214_s_at,NELF,0.001748272,0.629801589,subtype: mesenchymal < proneural
204612_at,PKIA,0.000155552,1.037003428,subtype: mesenchymal < proneural
214762_at,ATP6V1G2,7.97E-07,1.83990143,subtype: mesenchymal < proneural
218315_s_at,CDK5RAP1,0.004042424,0.388812244,subtype: mesenchymal < proneural
203476_at,TPBG,0.000238737,-2.03285256,subtype: mesenchymal >= proneural
209278_s_at,TFPI2,0.000241319,-2.959890376,subtype: mesenchymal >= proneural
219365_s_at,CAMKV,6.51E-06,2.118537275,subtype: mesenchymal < proneural
208683_at,CAPN2,0.000241329,-0.587272984,subtype: mesenchymal >= proneural
201770_at,SNRPA,3.85E-07,0.62306843,subtype: mesenchymal < proneural
209379_s_at,CCSER2,0.004106389,0.584616213,subtype: mesenchymal < proneural
220462_at,CSRNP3,0.000517958,1.097428,subtype: mesenchymal < proneural
218796_at,FERMT1,1.25E-05,2.048809665,subtype: mesenchymal < proneural
219771_at,TBC1D8B,0.000242284,-2.00594786,subtype: mesenchymal >= proneural
218005_at,ZNF22,2.83E-05,0.777417644,subtype: mesenchymal < proneural
212209_at,MED13L,0.00463861,0.571486582,subtype: mesenchymal < proneural
203304_at,BAMBI,1.80E-05,1.693304394,subtype: mesenchymal < proneural
204771_s_at,TTF1,0.000174294,0.544701114,subtype: mesenchymal < proneural
200899_s_at,MGEA5,7.26E-06,0.702743505,subtype: mesenchymal < proneural
218585_s_at,DTL,0.001642983,1.262311076,subtype: mesenchymal < proneural
221803_s_at,NRBF2,0.000245057,-0.536759117,subtype: mesenchymal >= proneural
208647_at,FDFT1,3.11E-06,0.834141185,subtype: mesenchymal < proneural
201991_s_at,KIF5B,0.001041412,0.530341321,subtype: mesenchymal < proneural
209879_at,SELPLG,0.000245064,-0.971460688,subtype: mesenchymal >= proneural
219706_at,AP5S1,0.000249471,-0.583560228,subtype: mesenchymal >= proneural
203839_s_at,TNK2,7.47E-05,1.238170533,subtype: mesenchymal < proneural
218205_s_at,MKNK2,0.000249568,-0.70471629,subtype: mesenchymal >= proneural
208973_at,ERI3,0.000542928,0.513327166,subtype: mesenchymal < proneural
204470_at,CXCL1,0.000256394,-1.947026588,subtype: mesenchymal >= proneural
200698_at,KDELR2,0.000257404,-0.658941338,subtype: mesenchymal >= proneural
201953_at,CIB1,0.000260104,-0.727286723,subtype: mesenchymal >= proneural
201125_s_at,ITGB5,0.000260301,-0.841403421,subtype: mesenchymal >= proneural
220918_at,RUNX1-IT1,0.000264862,-2.17136202,subtype: mesenchymal >= proneural
204068_at,STK3,0.000270534,-0.572790594,subtype: mesenchymal >= proneural
219303_at,RNF219,8.63E-05,0.82961808,subtype: mesenchymal < proneural
217957_at,C16ORF80,6.17E-09,1.03780784,subtype: mesenchymal < proneural
209218_at,SQLE,0.000561417,0.729501167,subtype: mesenchymal < proneural
203236_s_at,LGALS9,0.000270613,-1.022465041,subtype: mesenchymal >= proneural
221517_s_at,MED17,0.001888845,0.463870785,subtype: mesenchymal < proneural
202061_s_at,SEL1L,0.000272777,-0.431533185,subtype: mesenchymal >= proneural
216903_s_at,MICU1,0.00024416,0.763482293,subtype: mesenchymal < proneural
206617_s_at,RENBP,0.000273111,-1.573045749,subtype: mesenchymal >= proneural
204595_s_at,STC1,0.000273144,-1.72618299,subtype: mesenchymal >= proneural
221311_x_at,LYRM2,0.007851064,0.343913808,subtype: mesenchymal < proneural
213218_at,ZNF187,9.20E-05,0.670992923,subtype: mesenchymal < proneural
214719_at,SLC46A3,0.000273242,-0.788049778,subtype: mesenchymal >= proneural
212685_s_at,TBL2,0.000273246,-0.45670846,subtype: mesenchymal >= proneural
205452_at,PIGB,0.000273276,-0.751374517,subtype: mesenchymal >= proneural
206848_at,COX20,0.001237568,0.767372832,subtype: mesenchymal < proneural
209581_at,PLA2G16,0.000275135,-0.965838444,subtype: mesenchymal >= proneural
214717_at,PKI55,0.001063565,0.688186131,subtype: mesenchymal < proneural
204835_at,POLA1,0.006883817,0.471286395,subtype: mesenchymal < proneural
220115_s_at,CDH10,0.000103914,1.835905086,subtype: mesenchymal < proneural
216724_at,DCLK2,0.000644028,1.68439703,subtype: mesenchymal < proneural
203710_at,ITPR1,0.000275255,-1.027785726,subtype: mesenchymal >= proneural
213951_s_at,PSMC3IP,0.001845072,0.541570195,subtype: mesenchymal < proneural
220173_at,CCDC176,0.000277629,-0.610898622,subtype: mesenchymal >= proneural
204226_at,STAU2,6.38E-06,0.687173617,subtype: mesenchymal < proneural
205832_at,CPA4,0.000278391,-0.783179597,subtype: mesenchymal >= proneural
212872_s_at,MED20,0.006301138,0.658145986,subtype: mesenchymal < proneural
209948_at,KCNMB1,0.000278869,-1.663768958,subtype: mesenchymal >= proneural
201336_at,VAMP3,0.000281109,-0.597464296,subtype: mesenchymal >= proneural
209130_at,SNAP23,0.000281145,-0.574296761,subtype: mesenchymal >= proneural
218088_s_at,RRAGC,0.000282317,-0.472231297,subtype: mesenchymal >= proneural
206405_x_at,USP6,0.002740685,0.587592976,subtype: mesenchymal < proneural
205482_x_at,SNX15,0.001624474,0.474594286,subtype: mesenchymal < proneural
212573_at,ENDOD1,0.000282497,-0.723718843,subtype: mesenchymal >= proneural
213193_x_at,TRBC1,0.000282518,-1.169340986,subtype: mesenchymal >= proneural
219326_s_at,B3GNT2,0.000283189,-1.035888988,subtype: mesenchymal >= proneural
206059_at,ZNF91,0.003641163,0.610145224,subtype: mesenchymal < proneural
218066_at,SLC12A7,0.000283958,-0.681413014,subtype: mesenchymal >= proneural
204306_s_at,CD151,0.000284323,-1.06570014,subtype: mesenchymal >= proneural
205997_at,ADAM28,0.000284789,-1.06372839,subtype: mesenchymal >= proneural
204655_at,CCL5,0.000286475,-1.49866458,subtype: mesenchymal >= proneural
212167_s_at,SMARCB1,8.69E-05,0.615233754,subtype: mesenchymal < proneural
217744_s_at,PERP,0.000289681,-1.215075777,subtype: mesenchymal >= proneural
214440_at,NAT1,0.00029157,-0.826536126,subtype: mesenchymal >= proneural
203613_s_at,NDUFB6,0.008080072,0.490443573,subtype: mesenchymal < proneural
212229_s_at,FBXO21,3.48E-05,0.710815372,subtype: mesenchymal < proneural
203662_s_at,TMOD1,0.008519785,0.907560378,subtype: mesenchymal < proneural
217976_s_at,DYNC1LI1,8.48E-06,0.536488402,subtype: mesenchymal < proneural
202919_at,MOB4,0.000134858,0.542224777,subtype: mesenchymal < proneural
214323_s_at,UPF3A,0.00318327,0.568289089,subtype: mesenchymal < proneural
206692_at,KCNJ10,0.000201796,2.195424071,subtype: mesenchymal < proneural
213139_at,SNAI2,0.000291585,-1.612028787,subtype: mesenchymal >= proneural
213411_at,ADAM22,7.21E-06,1.416456058,subtype: mesenchymal < proneural
220603_s_at,MCTP2,0.000291668,-1.377960544,subtype: mesenchymal >= proneural
208820_at,PTK2,3.80E-05,0.441736058,subtype: mesenchymal < proneural
203126_at,IMPA2,0.000292894,-1.478520587,subtype: mesenchymal >= proneural
218883_s_at,MLF1IP,0.000810871,1.273977561,subtype: mesenchymal < proneural
202391_at,BASP1,0.00188078,1.025239303,subtype: mesenchymal < proneural
40837_at,TLE2,0.00664549,0.877146671,subtype: mesenchymal < proneural
202827_s_at,MMP14,0.000301475,-1.420620646,subtype: mesenchymal >= proneural
219449_s_at,TMEM70,0.000302614,-0.640018767,subtype: mesenchymal >= proneural
205760_s_at,OGG1,5.18E-07,0.714529211,subtype: mesenchymal < proneural
201976_s_at,MYO10,0.000527979,0.93378341,subtype: mesenchymal < proneural
212372_at,MYH10,5.35E-05,0.915034732,subtype: mesenchymal < proneural
203282_at,GBE1,0.000308296,-0.689328484,subtype: mesenchymal >= proneural
211163_s_at,TNFRSF10C,0.000312169,-1.657746385,subtype: mesenchymal >= proneural
219353_at,NHLRC2,0.000112171,0.581748108,subtype: mesenchymal < proneural
203855_at,WDR47,0.001019791,0.505280457,subtype: mesenchymal < proneural
208628_s_at,YBX1,0.001013527,0.438298939,subtype: mesenchymal < proneural
221922_at,GPSM2,1.66E-05,1.092713495,subtype: mesenchymal < proneural
